"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.193735708E0,-3.557574749E-1,-8.791688681E-1,-7.949082851E-1,1.237489580E0
2.203738708E0,-3.035421968E-1,-9.454767704E-1,-7.800949812E-1,1.262779620E0
2.213741708E0,-1.953494996E-1,-9.206866622E-1,-7.691720724E-1,1.215504436E0
2.223744708E0,-2.994855493E-2,-8.751341105E-1,-7.603192329E-1,1.159673214E0
2.233747708E0,1.665553302E-1,-8.631428480E-1,-7.502527833E-1,1.155696973E0
2.243750708E0,3.634545505E-1,-8.987569809E-1,-7.498040795E-1,1.225589441E0
2.253753708E0,5.136056542E-1,-9.259403348E-1,-7.639479041E-1,1.305669434E0
2.263755708E0,5.854441524E-1,-9.147300124E-1,-7.829833627E-1,1.338857273E0
2.273758708E0,5.780646205E-1,-8.659272194E-1,-8.185995817E-1,1.324422112E0
2.283761708E0,5.040833354E-1,-7.906414866E-1,-8.659130335E-1,1.276330424E0
2.293764708E0,3.737685978E-1,-6.903165579E-1,-9.131765366E-1,1.204213977E0
2.303767708E0,2.153334171E-1,-5.967109799E-1,-9.511921406E-1,1.143328020E0
2.313770708E0,5.789305642E-2,-5.082147717E-1,-9.779791236E-1,1.103665269E0
2.323772708E0,-7.115201652E-2,-4.114983976E-1,-9.910592437E-1,1.075449657E0
2.333775708E0,-1.703936607E-1,-2.754111588E-1,-9.893444777E-1,1.041003267E0
2.343778708E0,-2.498642504E-1,-1.008870080E-1,-9.702624083E-1,1.006985339E0
2.353781708E0,-3.007135093E-1,6.578925252E-2,-9.329642653E-1,9.824353215E-1
2.363784708E0,-3.345348537E-1,1.733322293E-1,-8.866881132E-1,9.634175835E-1
2.373787708E0,-3.397856653E-1,2.107316703E-1,-8.310105205E-1,9.221933747E-1
2.383789708E0,-3.183051348E-1,2.200040072E-1,-7.757624984E-1,8.669067862E-1
2.393792708E0,-2.626819909E-1,1.935442835E-1,-7.170002460E-1,7.877503226E-1
2.403795708E0,-1.826888919E-1,1.552621424E-1,-6.605689526E-1,7.027324563E-1
2.413798708E0,-8.986484259E-2,1.181444451E-1,-6.168062687E-1,6.344160882E-1
2.423801708E0,5.903495476E-3,1.090558693E-1,-5.801193714E-1,5.903105276E-1
2.433804708E0,8.968035132E-2,1.181193367E-1,-5.558112860E-1,5.752572718E-1
2.443807708E0,1.592410505E-1,1.518464088E-1,-5.327166319E-1,5.763697198E-1
2.453809708E0,2.040049136E-1,2.033402026E-1,-5.149475336E-1,5.900306815E-1
2.463812708E0,2.138516754E-1,2.218108177E-1,-5.081927180E-1,5.942999382E-1
2.473815708E0,1.888328642E-1,1.806881279E-1,-4.970457852E-1,5.615697309E-1
2.483818708E0,1.284115911E-1,1.133674234E-1,-5.090029240E-1,5.370527777E-1
2.493821708E0,9.117268026E-3,1.890150160E-1,-4.611230493E-1,4.984418395E-1
2.503824708E0,-1.493519992E-1,3.416053653E-1,-3.602704704E-1,5.184544889E-1
2.513826708E0,-3.135532439E-1,3.490940928E-1,-2.454668432E-1,5.295623604E-1
2.523829708E0,-4.640500844E-1,1.640520692E-1,-1.516149044E-1,5.150171273E-1
2.533832708E0,-5.920345187E-1,-2.437718213E-2,-5.193801224E-2,5.948080997E-1
2.543835708E0,-7.101337314E-1,-1.909491271E-1,3.348953649E-2,7.361202583E-1
2.553838708E0,-7.939681411E-1,-3.449987471E-1,9.718845785E-2,8.711229195E-1
2.563841708E0,-8.369763494E-1,-4.599165618E-1,1.511185318E-1,9.668968217E-1
2.573843708E0,-8.357711434E-1,-5.104445815E-1,1.703630388E-1,9.940274845E-1
2.583846708E0,-7.916191220E-1,-4.637678266E-1,1.777280122E-1,9.345205603E-1
2.593849708E0,-7.257595658E-1,-3.103924692E-1,2.080103755E-1,8.162957483E-1
2.603852708E0,-6.653058529E-1,-7.429097593E-2,2.407217175E-1,7.114056313E-1
2.613855708E0,-6.331844926E-1,1.077355742E-1,2.764331698E-1,6.992459174E-1
2.623858708E0,-6.334303021E-1,1.724338830E-1,3.412576914E-1,7.398812091E-1
2.633861708E0,-6.600500941E-1,1.546588689E-1,4.114847183E-1,7.930354128E-1
2.643863708E0,-6.785225272E-1,1.409345418E-1,4.646480680E-1,8.343579520E-1
2.653866708E0,-6.650404334E-1,1.547379345E-1,5.037290454E-1,8.485078418E-1
2.663869708E0,-5.953295827E-1,1.311942637E-1,5.471289754E-1,8.191332996E-1
2.673872708E0,-4.809263945E-1,6.457076967E-2,5.963925123E-1,7.688586411E-1
2.683876083E0,-3.377956152E-1,-5.841454118E-2,6.287301779E-1,7.161143574E-1
2.693879083E0,-1.429945230E-1,-2.393428832E-1,6.538026929E-1,7.107674800E-1
2.703881083E0,1.100180149E-1,-4.264389873E-1,6.603327990E-1,7.937213484E-1
2.713884083E0,4.070804417E-1,-4.927044511E-1,6.328741908E-1,8.994453310E-1
2.723887083E0,7.347464561E-1,-3.326338232E-1,5.692531466E-1,9.871913493E-1
2.733890083E0,1.061395288E0,1.004524678E-1,5.078299642E-1,1.180907247E0
2.743893083E0,1.373080492E0,5.911814570E-1,4.704107046E-1,1.567205087E0
2.753896083E0,1.652304292E0,9.318018556E-1,4.722769558E-1,1.954842626E0
2.763898083E0,1.893940568E0,1.039575219E0,4.935303032E-1,2.216145228E0
2.773901083E0,2.078700542E0,9.597766995E-1,5.202463865E-1,2.347940281E0
2.783904083E0,2.191925287E0,8.077858686E-1,5.506445169E-1,2.400054970E0
2.793907083E0,2.200067282E0,6.713391542E-1,5.774337649E-1,2.371586401E0
2.803910083E0,2.120271206E0,6.063241959E-1,5.988802314E-1,2.285133814E0
2.813913083E0,1.981533051E0,5.858847499E-1,6.184527874E-1,2.156900095E0
2.823915083E0,1.818698049E0,5.994306803E-1,6.384653449E-1,2.018568237E0
2.833918083E0,1.655296564E0,6.191673279E-1,6.479014158E-1,1.882325992E0
2.843921083E0,1.512013793E0,6.260728836E-1,6.457213163E-1,1.759292183E0
2.853924083E0,1.375152469E0,5.504351854E-1,5.607437491E-1,1.583810834E0
2.863927083E0,1.298959970E0,5.260132551E-1,4.794164002E-1,1.481157329E0
2.873930083E0,1.256366491E0,4.921376109E-1,4.155655801E-1,1.411860808E0
2.883932083E0,1.212991118E0,4.487805367E-1,3.399389684E-1,1.337277056E0
2.893935083E0,1.143600821E0,4.167778790E-1,2.756774426E-1,1.248008290E0
2.903938083E0,1.059219360E0,3.946387768E-1,2.421313226E-1,1.155990050E0
2.913941083E0,9.667038321E-1,3.355267346E-1,2.406652868E-1,1.051196589E0
2.923944083E0,8.612557054E-1,4.420407489E-2,2.856394053E-1,9.084631308E-1
2.933947083E0,7.054982781E-1,-3.489440978E-1,2.736575603E-1,8.332936242E-1
2.943949083E0,5.284201503E-1,-6.894447207E-1,2.633913457E-1,9.077096888E-1
2.953952083E0,3.693128526E-1,-7.902073860E-1,2.844492197E-1,9.174590207E-1
2.963955083E0,2.464639097E-1,-4.462979138E-1,2.767100632E-1,5.800816716E-1
